Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,17463966.008788828,0.1404189527428055
2017-01-27,41172061.16849233,0.3310438023432326
2017-02-05,59865294.4179568,0.48134667369249
2017-02-08,54924370.33729425,0.4416191922808115
2017-02-17,55831241.9215434,0.44891088982926003
2017-02-20,44353820.24189112,0.3566267241573116
2017-03-04,23717406.23574644,0.19069971527218804
2017-03-13,17997505.345690407,0.14470887376630653
2017-03-25,14734444.96804915,0.11847224912249198
2017-03-28,14360208.221364396,0.11546319997403956
2017-04-06,26440209.548279334,0.21259240502422372
2017-04-09,21601516.432444546,0.17368691129917813
2017-04-18,24792440.94910998,0.19934352782523018
2017-04-21,8227291.3729681,0.0661515052148352
2017-04-30,6432083.3152553765,0.05171714160621358
2017-05-03,3471700.5281049525,0.027914194985709954
2017-05-12,11553715.632006805,0.09289760690773881
2017-05-15,5043767.581925338,0.04055439419520416
2017-05-24,20264057.26036661,0.1629330758768617
2017-05-27,3172300.117067436,0.025506867111417485
2017-06-05,17696108.92937708,0.1422854970191316
2017-06-08,14110149.865657344,0.11345260670929654
2017-06-20,10700556.880078934,0.08603778718472853
2017-06-29,17562466.11479516,0.14121094247317395
2017-07-02,14003436.680561796,0.11259457974752708
2017-07-11,9855616.283542413,0.0792440455091074
2017-07-23,25459701.814714924,0.2047086362952851
2017-07-26,24824556.277116977,0.19960175099879024
2017-08-04,28354754.69684891,0.2279862980612157
2017-08-07,23936368.15774508,0.19246027777913105
2017-08-16,29888750.16462725,0.24032038282691223
2017-08-19,27563294.52125732,0.221622565508239
2017-08-28,25812855.83797539,0.20754816988566127
2017-09-09,22448575.843465466,0.1804976892946596
2017-09-12,19578140.15429128,0.157417961975758
2017-09-21,16676367.495061055,0.13408626986746164
2017-09-24,13905236.351023573,0.11180500036871839
2017-10-03,13656564.182166696,0.10980555273410939
2017-10-06,10767175.413121967,0.08657343324808303
2017-10-15,12263237.85850205,0.09860251769043654
2017-10-18,10486849.129155502,0.08431947082047389
2017-10-27,11520971.79209307,0.09263433018656614
2017-10-30,8444109.766465697,0.0678948326889604
2017-11-08,11326294.765500862,0.09106903028942914
2017-11-11,8604993.516714297,0.06918841787527344
2017-11-20,11379312.926309265,0.0914953226111915
2017-12-02,15756646.674055532,0.12669125807939727
2017-12-05,11898658.10051204,0.09567111552311561
2017-12-14,17801487.9309805,0.143132796483571
2017-12-26,24517131.62301523,0.19712990422844254
2017-12-29,12862527.95948702,0.1034211074842491
2018-01-07,40029914.13324642,0.321860373419538
2018-01-10,24949270.23763256,0.20060451312734642
2018-01-19,39602250.359023616,0.31842174445792754
2018-01-22,30034072.77593241,0.24148884873431556
2018-01-31,55190479.43247129,0.443758841455649
2018-02-03,52814204.95276975,0.42465241547536353
2018-02-12,64182279.15413568,0.51605737316109
2018-02-15,64045699.63790168,0.514959206076589
2018-02-24,47992185.24721215,0.38588098424268624
2018-02-27,41583712.8882069,0.33435368644103747
2018-03-08,17631639.864765666,0.1417671337485843
2018-03-11,12663891.820162605,0.10182397435613999
2018-03-20,11149408.29136849,0.08964677526216128
2018-03-23,11630271.659448775,0.09351315535728004
2018-04-01,11499810.78622969,0.09246418519883398
2018-04-13,18120137.575978044,0.14569489775082634
2018-04-25,18174992.568779107,0.14613595911328908
2018-04-28,14630527.437733067,0.1176367006124193
2018-05-07,3689144.787273482,0.029662554730398766
2018-05-10,5029407.689171377,0.04043893353174458
2018-05-19,6466951.4043327775,0.05199749834476469
2018-05-22,7990262.156184955,0.06424567269240665
