Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,3330633.6803468,0.023561007664966056
2017-01-09,20291957.049612246,0.14354594394580625
2017-01-27,10317682.876331013,0.07298761396918677
2017-02-02,20458809.421158675,0.14472626288274618
2017-02-05,26710774.06971944,0.1889528579223121
2017-02-08,20725882.320915304,0.14661554499605725
2017-02-17,43283427.87581045,0.306188333459052
2017-02-20,38950144.28024066,0.27553454868165767
2017-02-24,39747662.89144128,0.2811762204819303
2017-02-26,57711030.030362405,0.4082496459823447
2017-03-04,40086563.27847683,0.28357361250487206
2017-03-08,27922929.752492186,0.19752768543980934
2017-03-10,30000765.32768977,0.21222635980998864
2017-03-13,29204933.42270765,0.2065966198226851
2017-03-20,7841903.1013870835,0.05547386978338123
2017-03-22,9133933.37534632,0.06461373267726515
2017-03-25,7698127.461460427,0.05445679637349647
2017-03-28,2518231.9723016475,0.017814052368372073
2017-04-01,1262133.2064241294,0.008928370095528111
2017-04-03,4478638.191320833,0.03168202777056303
2017-04-06,4479030.757110086,0.03168480479333326
2017-04-09,1538952.70767173,0.010886599975082949
2017-04-15,4305660.282443207,0.030458376589412663
2017-04-18,2357181.008368608,0.016674772771799504
2017-04-21,395629.78095397947,0.002798697544118681
2017-04-25,442043.18954464776,0.003127027459838524
2017-04-27,1333187.7923698272,0.009431012476759077
2017-04-30,2156812.582174624,0.015257360207568757
2017-05-03,490107.0562099681,0.003467032768015077
2017-05-07,437361.6972231997,0.003093910435555736
2017-05-09,2257024.611124345,0.015966263259903333
2017-05-12,707263.8323543774,0.005003206649108178
2017-05-15,577717.7300762701,0.004086793437186551
2017-05-19,431022.0064026178,0.00304906326280941
2017-05-21,1119664.1319661457,0.00792053937096291
2017-05-24,665238.2085936302,0.004705916061615878
2017-05-27,308124.4032713647,0.0021796817434704503
2017-05-31,607047.2289579803,0.004294271236993594
2017-06-02,1042652.7226873062,0.0073757582336630425
2017-06-05,708242.5236394247,0.005010129942115363
2017-06-08,405700.3212717393,0.002869936863836478
2017-06-12,467750.58067402564,0.003308882355205608
2017-06-20,303981.78078203386,0.002150376701369867
2017-06-24,1882600.809160449,0.013317577479755175
2017-06-29,1144887.5423754824,0.008098970571457191
2017-07-02,592900.9214590335,0.004194199811732876
2017-07-06,1892151.328066149,0.013385138151608519
2017-07-11,11319313.65727569,0.08007318169359835
2017-07-18,28786036.46359512,0.20363332952669144
2017-07-23,51170196.83115375,0.3619795857078767
2017-07-26,66191699.17655604,0.46824216690608195
2017-07-30,62456223.52835242,0.4418172943963992
2017-08-01,66238611.3645061,0.46857402520271596
2017-08-04,65637582.58487406,0.46432232866600726
2017-08-07,51142842.93692707,0.3617860833976874
2017-08-11,27956425.83929858,0.19776463781396222
2017-08-13,65336854.34927618,0.46219496764584983
2017-08-16,46736142.51940839,0.33061294570709754
2017-08-19,34823941.50900179,0.2463456601845473
2017-08-23,23486090.26056709,0.16614134298662592
2017-08-25,12473483.037537448,0.08823781227890636
2017-08-28,15831239.719552133,0.1119906889128211
2017-09-04,6965388.314720216,0.049273376547222095
2017-09-06,4648439.895307204,0.032883210378171386
2017-09-09,3216784.820313428,0.022755637239595644
2017-09-12,2543420.124522101,0.017992234151326555
2017-09-16,1734510.912630059,0.012269984882633164
2017-09-18,2134654.514719196,0.015100613339776378
2017-09-21,2033428.8941426887,0.014384540108316801
2017-09-24,952620.5635733813,0.006738867901503861
2017-09-28,699877.9078060973,0.004950958385985839
2017-09-30,2459011.069512969,0.017395121834893237
2017-10-03,1729753.5310230625,0.012236331015151723
2017-10-06,733249.6953076231,0.005187031462937129
2017-10-10,578478.087542994,0.004092172229879156
2017-10-12,3919370.037519925,0.027725747217637566
2017-10-15,2993936.336708278,0.021179200040473738
2017-10-18,560229.2684037152,0.003963079507928313
2017-10-22,1249264.248400281,0.00883733468072727
2017-10-24,969736.0569420608,0.006859943441221319
2017-10-27,1264886.320694239,0.008947845712676684
2017-10-30,341554.84391877416,0.0024161697346249725
2017-11-03,615603.4913386926,0.004354798506841664
2017-11-05,1432288.5550856944,0.010132054396718708
2017-11-08,2948138.13436375,0.020855222113135678
2017-11-11,457082.2628093346,0.003233414338273735
2017-11-15,769126.956929435,0.0054408283428093954
2017-11-17,1682646.8035052128,0.011903096539481628
2017-11-20,6119551.264062321,0.04328989858281627
2017-11-27,3650333.852546452,0.025822576762802918
2017-11-29,5477221.913190862,0.03874604050301107
2017-12-02,19643209.16069957,0.13895668092553
2017-12-05,5640224.474579843,0.03989912576151809
2017-12-09,7016636.948697347,0.04963591099977362
2017-12-11,903016.704879761,0.0063879686411653334
2017-12-14,8482429.622304669,0.06000497458725203
2017-12-21,1706132.5070132688,0.012069235146568796
2017-12-23,2789998.120511552,0.019736534669213136
2017-12-26,9597793.016748764,0.06789509040538776
2017-12-29,478943.30645545525,0.0033880600502743338
2018-01-02,3041270.4929216267,0.021514043353906297
2018-01-04,9360807.050817804,0.06621864421055815
2018-01-07,19437893.020609528,0.13750426807720412
2018-01-10,2649346.4688589354,0.01874156045087389
2018-01-14,6206796.024930918,0.043907070771905254
2018-01-16,11558642.432623887,0.08176620099611098
2018-01-19,19582484.538303547,0.13852711303213866
2018-01-22,3029579.01111938,0.02143133744302124
2018-01-26,7773798.904690731,0.05499209854872176
2018-01-28,16616831.769237384,0.11754799184090634
2018-01-31,23464762.65304015,0.16599047081855087
2018-02-03,9355093.181160904,0.06617822411645496
2018-02-07,13278261.582047535,0.09393084107630566
