Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,51457970.57111923,0.1898091740788113
2017-01-09,75395128.39524402,0.27810438094305784
2017-01-27,85918142.09040543,0.3169198358887223
2017-02-02,102792186.55639994,0.37916186385663353
2017-02-05,107104607.93278544,0.3950687706127065
2017-02-08,92882658.3955834,0.3426093271973084
2017-02-17,95014213.66214833,0.3504718359624151
2017-02-20,61245442.77149345,0.22591149202982314
2017-02-24,45853843.38501031,0.16913764854404884
2017-02-26,55662124.90643972,0.2053167242839666
2017-03-04,29256173.192248985,0.1079150617230931
2017-03-08,17842579.144821562,0.0658145895247408
2017-03-10,22585715.275261506,0.08331024163597005
2017-03-13,21847235.637678046,0.08058626693335309
2017-03-20,8966273.284633651,0.0330732228230626
2017-03-22,11194782.744568467,0.04129335928243647
2017-03-25,11585480.739030965,0.042734497804226446
2017-03-28,6499873.0890660025,0.0239755965686129
2017-04-01,4339272.896118194,0.01600595195211663
2017-04-03,18480068.8073375,0.068166050046463
2017-04-06,21180187.201817174,0.07812577517131737
2017-04-09,10838744.144429557,0.03998006628074022
2017-04-15,15603547.009678015,0.05755563885897088
2017-04-18,9800692.668462748,0.03615108330458035
2017-04-21,2398255.2458907184,0.008846265066430364
2017-04-25,2389837.1946779443,0.008815214029432287
2017-04-27,4860058.514309723,0.01792693497892369
2017-04-30,7698920.293194759,0.028398432466943527
2017-05-03,3269439.816131173,0.01205973854609286
2017-05-07,2772034.312732442,0.010224996003110465
2017-05-09,7100873.450829092,0.026192461731020678
2017-05-12,2754564.6969110826,0.010160557135550707
2017-05-15,2269652.3182858042,0.008371897049155582
2017-05-19,4107732.582360062,0.015151886484073358
2017-05-21,5604321.664247312,0.020672242891751385
2017-05-24,6172891.882616439,0.022769485405528703
2017-05-27,3415058.104869977,0.012596869855577402
2017-05-31,3720235.759095196,0.013722555883473507
2017-06-02,6002379.827113701,0.0221405303172062
2017-06-05,6249780.864692868,0.0230531000530111
2017-06-08,5350718.9469002215,0.019736797482817793
2017-06-12,5630842.553994482,0.020770068517652982
2017-06-20,5378939.370394899,0.019840892051962836
2017-06-24,6632524.144171411,0.024464896611556528
2017-06-29,14652524.609596316,0.05404767353724346
2017-07-02,9458286.116310807,0.03488807382049452
2017-07-06,12152902.581233066,0.04482750438857678
2017-07-11,39934298.241534784,0.1473026643397565
2017-07-18,50004225.45016819,0.184446852991013
2017-07-23,90094839.2845747,0.3323261069873245
2017-07-26,102873090.40455124,0.3794602878408474
2017-07-30,104214846.35360707,0.3844095228316373
2017-08-01,106271451.14397922,0.39199556737118146
2017-08-04,106589561.82469971,0.3931689584883021
2017-08-07,102484876.54813036,0.3780283123735803
2017-08-11,87995543.76547043,0.3245825923440912
2017-08-13,112198806.96470708,0.41385936223749187
2017-08-16,107118978.40442088,0.3951217778984967
2017-08-19,105955773.22545426,0.3908311498023361
2017-08-23,116903294.35678078,0.4312124536331106
2017-08-25,115350937.53860049,0.42548639094031204
2017-08-28,121211237.09370445,0.44710284036618597
2017-09-04,106497121.1096747,0.3928279793246194
2017-09-06,105560632.3617273,0.3893736232004048
2017-09-09,93385828.52555601,0.34446533328793394
2017-09-12,77916067.40556511,0.287403180451499
2017-09-16,80980679.15837592,0.29870738501334215
2017-09-18,85656218.58330387,0.31595369820387015
2017-09-21,85243757.72068162,0.3144322846151636
2017-09-24,80005929.63390917,0.2951118992194156
2017-09-28,76279496.49194297,0.2813664835124563
2017-09-30,79204079.13774297,0.2921541731621542
2017-10-03,79266799.14208013,0.29238552375933724
2017-10-06,76053674.26743652,0.2805335099333104
2017-10-10,74623591.07122044,0.2752584688206298
2017-10-12,74813856.97200947,0.2759602884431937
2017-10-15,73016002.55684987,0.2693286770938158
2017-10-18,66045244.08089511,0.2436161607559398
2017-10-22,69977320.70789069,0.25812011823232567
2017-10-24,69848098.01870258,0.25764346414677175
2017-10-27,72358743.52626634,0.2669042947801278
2017-10-30,65985724.74409303,0.24339661622212444
2017-11-03,65319679.19100703,0.24093982371890293
2017-11-05,66621427.5902464,0.24574148584773775
2017-11-08,65591942.10905208,0.24194409961693886
2017-11-11,58242941.06471551,0.21483638815750683
2017-11-15,57122775.03811538,0.21070451536928136
2017-11-17,60600585.88979606,0.22353285659675934
2017-11-20,58663201.91363832,0.2163865729733159
2017-11-27,54475082.40149066,0.2009381692232025
2017-11-29,56792776.38960681,0.20948727399296305
2017-12-02,58788544.94774666,0.21684891646484075
2017-12-05,50352266.2083343,0.18573064495016087
2017-12-09,48467087.39651016,0.17877692661864075
2017-12-11,53392577.27464735,0.19694521338406323
2017-12-14,55194708.34933666,0.20359259972814345
2017-12-21,50298996.68052229,0.1855341536201425
2017-12-23,53852995.99814285,0.1986435255535321
2017-12-26,58700606.46308863,0.21652454434216614
2017-12-29,40337997.71994497,0.1487917604646645
2018-01-02,41380148.12464051,0.1526358628531909
2018-01-04,54078023.57844531,0.19947356798793262
2018-01-07,81522214.1083717,0.30070490455118415
2018-01-10,56484886.02215111,0.2083515817823109
2018-01-14,57358080.57177234,0.2115724693228457
2018-01-16,70872707.62013629,0.2614228650839417
2018-01-19,95773515.46166982,0.3532726158191438
2018-01-22,73711235.12525827,0.27189312956128936
2018-01-26,78178725.80850317,0.2883720288917543
2018-01-28,93564933.15768804,0.34512598317212795
2018-01-31,117835541.97095452,0.43465116580382673
2018-02-03,100594047.87202856,0.3710537538095306
2018-02-07,102840855.9698828,0.3793413870883808
2018-02-09,118785271.31872024,0.43815436154001836
2018-02-12,132058216.94190416,0.48711328507252716
2018-02-15,110553933.54542872,0.4077920404657187
2018-02-19,96940802.7590824,0.357578301320836
2018-02-21,100778925.4884396,0.37173569806981077
2018-02-24,76516127.73027636,0.28223932749388053
2018-02-27,58590314.19649491,0.21611771749304853
2018-03-03,35905250.175149165,0.13244101555499657
2018-03-05,33046819.203454915,0.12189733464654098
2018-03-08,18334907.710873872,0.06763060514798892
2018-03-11,8932384.163877837,0.03294821855356798
2018-03-15,9030242.872860838,0.03330918266704406
2018-03-17,17343463.84412288,0.06397354018011535
2018-03-20,11550753.427015502,0.042606401761213594
2018-03-23,11157015.80674184,0.04115405119863922
2018-03-27,8048624.295400193,0.02968835951019778
2018-03-29,25437014.82809939,0.0938276174121378
2018-04-01,10281482.604053007,0.03792453724314299
2018-04-08,5296240.713354971,0.019535847690205874
2018-04-10,15637257.57183428,0.05767998449269092
2018-04-13,12802702.14555122,0.0472243715259921
2018-04-20,7593627.6652071765,0.028010047411468227
2018-04-22,10740357.144539028,0.039617153500036924
2018-04-25,10793910.511477748,0.039814691806249934
2018-04-28,3555412.16331078,0.013114583391800884
2018-05-02,2713521.189880012,0.010009163015564992
