Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,864345.4439018102,0.09751729155400522
2017-01-27,1182212.0500264785,0.13337967819980415
2017-02-08,1447413.2353582347,0.16330024004567945
2017-02-20,1535074.1236406225,0.1731903279275886
2017-03-04,1574573.2909225756,0.17764670800010532
2017-03-13,689445.2502078789,0.07778467966643608
2017-03-25,569897.9310914279,0.06429709683132254
2017-03-28,1126204.2917535815,0.1270607637758105
2017-04-06,860319.4621504544,0.09706307172904058
2017-04-09,1510119.9690079938,0.17037494712126575
2017-04-18,939898.3859368416,0.10604133518514165
2017-04-21,535162.3051867317,0.06037814962964803
2017-04-30,314656.5081869986,0.03550021656818328
2017-05-03,521280.9501511818,0.05881202562712461
2017-05-12,409994.60150765826,0.04625646305290459
2017-05-15,577167.50654258,0.06511726579703571
2017-05-24,404696.1093900193,0.04565867590162403
2017-05-27,406105.8631626804,0.04581772732098174
2017-06-05,318070.9189563826,0.035885437654072386
2017-06-08,381309.3982145424,0.04302013740028918
2017-06-20,486197.6839695948,0.05485385690993606
2017-06-29,384613.6938764087,0.04339293506551925
2017-07-02,325948.6762231267,0.03677422298590094
2017-07-11,367450.9449616676,0.041456597225602174
2017-07-23,456798.32766977925,0.051536958996010254
2017-07-26,443513.4962037928,0.050038136051486715
2017-08-04,467425.1701775642,0.052735901972387984
2017-08-07,635587.6297339047,0.07170834836253424
2017-08-16,504423.5658416146,0.056910139671512726
2017-08-19,746982.5924457922,0.08427616500698307
2017-08-28,446106.235932264,0.05033065446274093
2017-09-09,413337.08404023416,0.04663356904211647
2017-09-12,503399.39374841435,0.0567945903974132
2017-09-21,402657.0967439839,0.04542863015765835
2017-09-24,538891.1263202743,0.06079884316161245
2017-10-03,362973.0372654335,0.04095139015423224
2017-10-06,430534.19057195314,0.04857378318146402
2017-10-15,403087.8140581319,0.045477224601231186
2017-10-18,442358.7733583936,0.049907857763825995
2017-10-27,401528.29196825204,0.04530127600174855
2017-10-30,435057.39057527424,0.049084100227262034
2017-11-08,437261.98055129714,0.049332826757801
2017-11-11,454390.5363664518,0.05126530685948965
2017-11-20,457470.6479855706,0.0516128116041489
2017-12-02,507288.3617651846,0.057233352041396214
2017-12-05,923624.0743503654,0.10420523273441895
2017-12-14,440066.64721694647,0.04964925521690328
2017-12-26,470676.6878446692,0.05310274511198357
2017-12-29,820635.7693672626,0.09258587309696484
2018-01-07,813842.3824935914,0.0918194287394769
2018-01-10,1325249.701261243,0.14951749027143835
2018-01-19,703008.645770742,0.07931493080491062
2018-01-22,1059003.8786741665,0.11947907022834113
2018-01-31,792143.7054592058,0.08937133784060389
2018-02-03,1236463.6630039292,0.13950046057602053
2018-02-12,823179.4983548331,0.09287286201217854
2018-02-15,1485303.8655878415,0.16757514154638697
2018-02-24,619251.3913123639,0.06986525919455326
2018-02-27,695727.5612677181,0.07849346336348405
2018-03-08,761920.4382280237,0.08596148454283767
2018-03-11,1305499.1567714016,0.1472891918301672
2018-03-20,822524.1183707147,0.09279892064829348
2018-03-23,1620033.4597822602,0.18277562095043237
2018-04-01,698502.5694514556,0.07880654568956967
2018-04-13,726909.3301452934,0.08201145685585161
2018-04-25,633086.7555413941,0.07142619441645681
2018-04-28,1285298.859081105,0.1450101512761383
2018-05-07,351902.3730141435,0.03970237426468682
2018-05-10,566679.3885970172,0.06393397402085273
2018-05-19,405685.3358565386,0.045770282535787604
2018-05-22,574040.4920830819,0.06476446937415653
2018-05-31,436711.21987020475,0.04927068876622194
2018-06-12,416050.6807850557,0.04693972279903362
2018-06-15,509719.3569525625,0.05750762208947302
2018-06-24,458521.03696579294,0.05173131872320892
2018-06-27,661390.5366598986,0.07461948720799896
2018-07-06,363738.59616136726,0.0410377621373129
2018-07-09,525256.7410690307,0.05926058281549071
2018-07-18,530176.7906492342,0.059815673274702254
2018-07-21,691822.4834797875,0.07805288418085118
2018-07-30,466473.12951079727,0.05262849071925141
2018-08-02,555577.7170700078,0.06268145982450421
2018-08-11,589942.1833119112,0.06655853200351851
2018-08-23,640635.5928812664,0.07227787030248105
2018-08-26,834023.8882503731,0.09409634914759382
2018-09-04,544727.2388129737,0.06145728578719444
2018-09-07,670489.814703848,0.07564608711224231
2018-09-16,501726.0615780399,0.0566058015025606
2018-09-19,601262.7148798028,0.06783573845522256
2018-09-28,488343.2923223757,0.05509592900827944
2018-10-01,606383.2978882133,0.06841345352236461
2018-10-10,510907.59738266893,0.057641681902336574
2018-10-13,452098.37133409077,0.0510066999248113
2018-10-22,438019.06666146097,0.0494182428231684
2018-10-25,534286.4410507504,0.060279332774751886
2018-11-03,384468.07776719634,0.043376506346333873
2018-11-06,356950.9008497349,0.04027195991396087
2018-11-15,396484.63270757353,0.04473223963545225
2018-11-18,381324.64829900407,0.04302185794725701
2018-11-27,411791.4956702437,0.04645919247455055
2018-11-30,408019.10530724615,0.04603358336944171
2018-12-09,440674.8651556275,0.04971787565850241
2018-12-12,1214328.1280073577,0.1370030824326011
2018-12-21,536811.6397137509,0.06056423105933124
2018-12-24,809748.6711189122,0.09135756751433936
2019-01-02,1023470.6046076751,0.1154701306643535
2019-01-05,1394205.8239513326,0.1572972667118023
2019-01-14,961743.7674603927,0.10850597759654149
2019-01-17,2154015.830863413,0.24302064790441863
2019-01-26,1083285.2414128017,0.12221854522206949
2019-01-29,1459652.6309558959,0.1646811146917631
2019-02-07,1195700.862344719,0.1349015146979723
2019-02-10,794454.2209547458,0.08963201511357187
2019-02-19,752501.016926964,0.0848987653953416
2019-02-22,1292052.418817377,0.14577210225126744
2019-03-03,874577.7018647732,0.09867171666270448
2019-03-15,770918.0158301558,0.08697661038690538
2019-03-18,1450574.9715364059,0.16365695384671683
2019-03-27,1023594.3195513859,0.11548408844746043
2019-03-30,1432520.1531746048,0.16161997083423696
2019-04-08,551325.0605177638,0.062201666066337154
2019-04-11,525640.262787314,0.05930385255154704
2019-04-20,477480.6458246567,0.053870382124172195
2019-04-23,467286.25616745284,0.0527202293982794
2019-05-02,567541.7315686693,0.06403126538922801
2019-05-05,233712.11699996647,0.026367898175418125
2019-05-08,463822.17949134967,0.05232940489914852
2019-05-14,570282.1664941526,0.06434044708677565
2019-06-07,426896.60947756295,0.048163383544795976
2019-06-19,392073.7393118765,0.044234593260016865
2019-07-01,379547.6967942781,0.04282137849869134
2019-07-13,299451.1101296219,0.03378471121552899
2019-07-25,440302.23718282674,0.0496758349779838
2019-07-28,542506.3578173771,0.061206721269174084
2019-08-06,614163.9350960527,0.06929128156256079
2019-08-09,572837.3415264656,0.0646287273691044
2019-08-18,531360.8490807929,0.05994926126559401
2019-08-21,737195.897321215,0.08317200924547949
2019-08-30,681486.315107757,0.07688673567877025
2019-09-02,768492.8560824223,0.08670299870554198
2019-09-11,613295.4412416943,0.06919329623851486
2019-09-14,632070.0801697973,0.07131149093843507
2019-09-23,553455.8573925843,0.06244206710223113
2019-09-26,555750.6870637482,0.06270097466712725
2019-10-05,514121.7208536486,0.058004306149183074
2019-10-08,629765.5559170588,0.0710514896102241
2019-10-17,554840.2966762466,0.06259826248709284
2019-10-20,550224.06299238,0.06207744918356119
2019-10-29,555681.5763639861,0.06269317745097282
2019-11-01,582376.6917077157,0.06570497714796758
2019-11-10,564367.9187903912,0.06367318908047809
2019-11-13,560745.8925967346,0.06326454438079805
2019-11-22,596743.1564972822,0.06732583226482947
2019-11-25,675910.8608756571,0.07625770107260245
2019-12-01,743468.9574645999,0.0838797492344552
2019-12-04,623604.9086324053,0.07035643227908696
2019-12-07,811274.0445558138,0.09152966339015446
2019-12-13,1007377.9111703016,0.11365451875953753
2019-12-16,659304.6375554106,0.07438415163405719
2019-12-19,1512032.0411335363,0.1705906711656907
2019-12-25,1105719.110502684,0.12474958205249093
2019-12-28,913143.2735633705,0.10302276649563012
2019-12-31,1611130.99853372,0.1817712263357015
2020-01-06,779073.9685469681,0.08789678232116782
2020-01-09,860642.6251908243,0.09709953167066411
2020-01-12,998708.7691868505,0.11267644772059386
2020-01-18,1364877.6517871642,0.15398839994347793
2020-01-21,1120205.9838542258,0.12638402191943923
2020-01-24,1510931.5519135732,0.17046651163101356
2020-02-02,999862.1645962284,0.11280657624409902
2020-02-05,1715283.0362110212,0.19352188077112295
2020-02-14,1167212.7143735695,0.1316874212459429
2020-02-17,1595411.0981762768,0.17999767373914172
2020-02-26,1118158.6559564322,0.12615303803108258
2020-02-29,1345291.738510073,0.15177867554582083
2020-03-09,710284.7663843195,0.08013583820977102
2020-03-12,1353279.3948416605,0.15267985992391436
2020-03-21,914259.4849893609,0.10314869984303443
2020-03-24,1394020.9821375224,0.15727641246518612
2020-04-02,905908.6068508977,0.10220653600807009
2020-04-05,1273734.3081178851,0.14370541403719292
2020-04-14,909745.29520503,0.10263939934930878
2020-04-17,1885468.3682942698,0.21272255194266287
2020-04-26,863220.3667787141,0.09739035795979499
2020-04-29,844919.1978365128,0.09532558115081526
2020-05-08,314879.99046214967,0.03552543031384113
2020-05-17,575069.1758351942,0.0648805276632114
2020-05-20,653565.6498472325,0.07373666683326169
2020-05-23,420809.51968294044,0.047476625126150286
2020-05-26,358529.50736347283,0.04045006165873818
2020-05-29,357028.8745643765,0.04028075707430676
2020-06-01,437607.35452862905,0.049371792584578085
2020-06-04,666188.2234164071,0.07516077243315991
2020-06-13,499247.59743071906,0.056326175905450505
2020-06-16,486370.26908748865,0.05487332833004741
2020-06-25,425832.8656327492,0.04804336970150525
2020-06-28,500451.8158986109,0.056462038394524336
2020-07-07,544881.6999603871,0.06147471242240418
2020-07-10,694564.4573456708,0.07836223950492828
2020-07-19,596647.9890466128,0.06731509527061164
2020-07-22,706952.9065619076,0.0797599306973157
