Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,8551284.558954729,0.04341301688889675
2017-01-09,17762916.43708478,0.09017847388456969
2017-01-27,15122453.588117322,0.07677341673012265
2017-02-02,25895929.31498408,0.13146801617399337
2017-02-08,25640816.27398471,0.13017286260014982
2017-02-20,29965515.17385793,0.15212842086571862
2017-02-26,36537141.33988257,0.1854911414916378
2017-03-04,29347844.37138685,0.14899264017749728
2017-03-10,31062205.23486755,0.15769607842783762
2017-03-13,11757125.44707851,0.059688375714781215
2017-03-22,9039047.10849418,0.04588928155474197
2017-03-25,11414044.753192795,0.05794662944786298
2017-03-28,14181780.45985572,0.0719978232947027
2017-04-03,29539220.52353681,0.14996421539150628
2017-04-06,24754730.026102364,0.12567439491624463
2017-04-09,23943009.269568115,0.12155346470166212
2017-04-15,32217068.267150413,0.1635590675470989
2017-04-18,28220492.85677267,0.14326932106605245
2017-04-21,5514418.267381945,0.027995505438256164
2017-04-27,10139284.441866944,0.051474947849227334
2017-04-30,4413729.824454126,0.02240754895840774
2017-05-03,5368400.7470137095,0.027254206159286098
2017-05-09,10337138.484864784,0.0524794099099837
2017-05-12,7309268.449225242,0.03710757049938273
2017-05-15,5331887.048216899,0.02706883403050083
2017-05-21,11013096.419301767,0.055911101724421874
2017-05-24,7324373.91906403,0.037184257693301366
2017-05-27,3968064.0781434267,0.020145000631545125
2017-06-02,5870192.782242841,0.02980169548091136
2017-06-05,4283209.431536595,0.02174492523409949
2017-06-08,5475076.3611321235,0.02779577511368448
2017-06-20,5514747.469816295,0.02799717672760969
2017-06-29,6646271.391596838,0.03374167824522191
2017-07-02,3668478.104958328,0.01862406762739878
2017-07-11,6763294.048511908,0.034335776891572946
2017-07-23,13637109.018341448,0.06923264452812809
2017-07-26,13597738.853461824,0.06903277074062235
2017-08-01,18634784.75201116,0.09460476020679912
2017-08-04,17496938.30855662,0.08882816061803497
2017-08-07,14664248.653213326,0.07444720966258536
2017-08-13,26729203.55253209,0.1356983687366236
2017-08-16,27712284.33379964,0.14068925662792012
2017-08-19,22799198.64714402,0.11574658626993015
2017-08-25,21006325.377252944,0.10664455756198281
2017-08-28,18629940.026714813,0.094580164587315
2017-09-06,16097812.033030592,0.08172509999476234
2017-09-09,13606253.452020887,0.06907599751064716
2017-09-12,12999231.350003587,0.06599427796487264
2017-09-18,12887898.016784972,0.0654290627808854
2017-09-21,10436482.488289267,0.052983757867152474
2017-09-24,9164546.582349977,0.046526415162036566
2017-09-30,10540414.915441686,0.05351140025633564
2017-10-03,7748678.268129293,0.03933835883974412
2017-10-06,6869339.428400675,0.0348741462834884
2017-10-12,8226796.3646717165,0.04176566070965413
2017-10-15,8742636.120906277,0.044384467263802144
2017-10-18,5479382.645220261,0.027817637183945133
2017-10-24,7470739.501720054,0.03792732400901007
2017-10-27,8923196.449089024,0.04530113288553658
2017-10-30,5533364.448815769,0.02809169109187301
2017-11-05,7015564.892149652,0.035616501245898526
2017-11-08,8133255.915567198,0.0412907761389475
2017-11-11,5064624.993862586,0.025712002551036735
2017-11-17,8232471.484851402,0.041794472063844096
2017-11-20,7463558.566038093,0.037890867956134056
2017-11-29,7286808.539160125,0.03699354640765034
2017-12-02,9815563.214393137,0.049831485394116075
2017-12-05,9176953.784753866,0.0465894038374561
2017-12-11,11176979.014461238,0.05674309811308187
2017-12-14,7466127.073220256,0.03790390770997569
2017-12-23,7803246.120503895,0.039615387990206516
2017-12-26,8494788.805900065,0.043126200204853096
2017-12-29,7245654.326480433,0.03678461539643264
2018-01-04,12914540.1591954,0.06556431915908756
2018-01-07,16202735.711955344,0.08225777475418611
2018-01-10,10474825.739871217,0.05317841823858863
2018-01-16,17750591.826022606,0.09011590450747758
2018-01-19,14709986.363549478,0.07467941009722107
2018-01-22,10930780.425945263,0.05549320128090663
2018-01-28,21173394.483197,0.10749273117472583
2018-01-31,20811874.85760682,0.10565737445104166
2018-02-03,15891325.43592342,0.08067681232923758
2018-02-09,30907184.845311094,0.15690907353476688
2018-02-12,28180209.08456808,0.1430648090923239
2018-02-15,26448517.81921941,0.1342733881507518
2018-02-21,35630046.76636369,0.18088601909528812
2018-02-24,29355157.479418267,0.14902976724072264
2018-02-27,21507149.505598783,0.1091871330303055
2018-03-05,24150532.91306175,0.12260701722675031
2018-03-08,23556176.07265884,0.11958959646703268
2018-03-11,16879684.319098644,0.08569449599907232
2018-03-17,25545634.78129615,0.12968964680711767
2018-03-20,14836182.358999958,0.0753200797935728
2018-03-23,16766190.064947804,0.08511831028822686
2018-03-29,28926414.05082736,0.14685312985038704
2018-04-01,11453654.227898093,0.058147718159446166
2018-04-10,18829751.512113467,0.09559456415856113
2018-04-13,17008983.38778086,0.0863509193251493
2018-04-22,14278305.917460127,0.0724878621060998
2018-04-25,19215186.634433374,0.09755133467174978
2018-04-28,12093848.146573976,0.061397843823261335
2018-05-04,14134769.075827418,0.07175915669499822
2018-05-07,4705996.674654523,0.023891324362715585
2018-05-10,6730935.191086142,0.03417149799122234
2018-05-16,8586521.034022314,0.043591904829845034
2018-05-19,5724652.334230702,0.029062818194813784
2018-05-22,6339988.4270180175,0.03218674606838098
2018-05-28,10804542.93072683,0.0548523208992345
2018-05-31,6640926.6363115525,0.03371454408194299
2018-06-09,9664174.185594652,0.049062916131953
2018-06-12,8202148.31635428,0.041640527914632984
2018-06-15,8319445.708504598,0.042236021332181906
2018-06-24,6820313.581921505,0.03462525269486798
2018-06-27,8150981.885263335,0.041380767042242216
2018-07-06,10138797.79039887,0.05147247722528109
2018-07-09,9591193.167610707,0.04869240733360082
2018-07-15,10424198.328261252,0.05292139385118675
2018-07-18,8103901.853580307,0.041141751933284725
2018-07-21,7744741.726577967,0.03931837387214383
2018-07-27,16949015.253642146,0.08604647411551895
2018-07-30,24440984.07246347,0.12408157476270582
2018-08-02,25039259.838612296,0.12711889105840063
2018-08-08,29144529.83447304,0.14796045637353833
2018-08-11,22988317.35344444,0.11670670092101247
2018-08-20,16603197.200333513,0.08429083086855768
2018-08-23,14247657.61355432,0.0723322673149423
2018-08-26,11111988.436271517,0.05641315504439812
2018-09-01,10990344.286189456,0.05579559407966354
