Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,48767783.24049736,0.15318785837507312
2017-01-09,114626898.55157503,0.36006248253480116
2017-01-27,58476002.21269392,0.18368301673921364
2017-02-02,103809125.90842624,0.32608202836036787
2017-02-05,124557638.31228784,0.39125661634485515
2017-02-08,112418871.53864267,0.35312669610224223
2017-02-17,134902009.35422486,0.42375003599316835
2017-02-20,111174935.40176748,0.3492192822297775
2017-02-24,85459800.25640322,0.26844369189142625
2017-02-26,97058796.78397976,0.30487810246524666
2017-03-04,45716769.68030349,0.1436041085692938
2017-03-08,18869258.61838699,0.05927153388583293
2017-03-10,20957207.324506365,0.06583013404016239
2017-03-13,14932177.068949835,0.04690449460844662
2017-03-20,4595777.323859842,0.014436114152225591
2017-03-22,4193395.6340817017,0.01317216518406192
2017-03-25,5582735.286406183,0.017536316099956314
2017-03-28,2627434.0183790023,0.008253214797818789
2017-04-01,1610224.249112118,0.005057986806754433
2017-04-03,7581583.4737665225,0.023815036449589835
2017-04-06,8401889.244806357,0.026391755667246525
2017-04-09,1926305.8943578084,0.006050852733591322
2017-04-15,9358288.611969054,0.029395967896546013
2017-04-18,4354676.01793506,0.013678774157419752
2017-04-21,1378059.689199171,0.004328718643215635
2017-04-25,2350742.276761104,0.0073840792228124326
2017-04-27,2915516.5274523865,0.009158130700652415
2017-04-30,3827829.4976240876,0.012023860097849013
2017-05-03,1625632.041531432,0.00510638528964964
2017-05-07,1336988.2933525236,0.0041997064398272685
2017-05-09,3898138.967236897,0.012244714037843758
2017-05-12,1759339.5069809556,0.005526383061128472
2017-05-15,1646940.3522467515,0.005173318298844936
2017-05-19,1543220.3747563981,0.004847516300749114
2017-05-21,3195478.7628303673,0.010037539449907134
2017-05-24,1865963.518806876,0.005861307122417517
2017-05-27,1517667.1194006526,0.004767249202219045
2017-05-31,1295995.893925955,0.004070942377560091
2017-06-02,2655050.724261745,0.008339963543577618
2017-06-05,1776933.700619477,0.005581649400179194
2017-06-08,1294242.0381813198,0.004065433219924311
2017-06-12,1193676.5811401368,0.0037495401042852874
2017-06-20,4694153.281546229,0.014745129679941031
2017-06-24,4293261.877727076,0.013485861952121992
2017-06-29,2924564.44170619,0.009186551730176481
2017-07-02,2137190.9777308446,0.006713278460958353
2017-07-06,14047633.80228607,0.04412599454843586
2017-07-11,43508396.82516733,0.13666723578785822
2017-07-18,52652542.74951951,0.16539054527094021
2017-07-23,79996492.5311493,0.25128251796747686
2017-07-26,98762523.7620912,0.31022979716388943
2017-07-30,119787866.6381178,0.37627395649950385
2017-08-01,121817191.17780632,0.38264840822821633
2017-08-04,133199082.40169989,0.41840085431025226
2017-08-07,94554530.25777549,0.2970117775995503
2017-08-11,100305380.18458864,0.3150761702290146
2017-08-13,133889700.76734143,0.4205702034452211
2017-08-16,92687157.3549882,0.29114604336359096
2017-08-19,60061181.44178899,0.1886623329006272
2017-08-23,32268125.70938472,0.10135964242667246
2017-08-25,16334700.509247486,0.05131005803298266
2017-08-28,22920534.60552237,0.07199727721304387
2017-09-04,9846710.736096073,0.030930184426525387
2017-09-06,10040228.968116043,0.031538057935425266
2017-09-09,8005966.705615503,0.025148095983927088
2017-09-12,6053836.621715353,0.01901612510168516
2017-09-16,4257065.701252476,0.013372163637639128
2017-09-18,5873791.100751242,0.018450571657713705
2017-09-21,4005859.7823068057,0.012583083343694706
2017-09-24,3343223.1286182487,0.010501629500308165
2017-09-28,2930031.023187555,0.009203723187522276
2017-09-30,6181042.794118425,0.019415701211725263
2017-10-03,3655241.6833551438,0.011481732572406362
2017-10-06,3190822.931809848,0.010022914696932976
2017-10-10,2630690.123647444,0.00826344277538046
2017-10-12,11410275.632795,0.03584160631286718
2017-10-15,5905903.41965401,0.01855144188459922
2017-10-18,2741773.297435327,0.008612373818855512
2017-10-22,3749863.803574597,0.01177895666151136
2017-10-24,3979534.804372332,0.012500392133974018
2017-10-27,4251599.509446088,0.013354993404328367
2017-10-30,2369430.544176139,0.00744278223270591
2017-11-03,2500130.503866727,0.007853332919743975
2017-11-05,4600038.532444045,0.01444949932935953
2017-11-08,4898270.175804377,0.015386295380161159
2017-11-11,2408647.282189853,0.007565968642044041
2017-11-15,2435457.354611027,0.007650183615622537
2017-11-17,6638597.957607613,0.020852959395836448
2017-11-20,6366003.027121,0.019996692597749353
2017-11-27,4758685.539755847,0.014947836421448807
2017-11-29,13785185.541137936,0.04330160015549658
2017-12-02,21129423.228233367,0.06637109333166777
2017-12-05,5998864.62494869,0.01884344875890865
2017-12-09,12684707.266056078,0.039844811699135216
2017-12-11,43425228.020898975,0.13640598850198807
2017-12-14,51100021.22715721,0.16051381249186253
2017-12-21,31082090.95896178,0.09763410660562186
2017-12-23,63779763.08388274,0.20034302700017298
2017-12-26,90302431.1063457,0.2836552147352147
2017-12-29,15111398.203698136,0.047467458515833005
2018-01-02,55250194.85795261,0.17355021005069823
2018-01-04,115269167.28299916,0.3620799572882248
2018-01-07,123215749.10210696,0.38704151529606423
2018-01-10,50171795.66265058,0.15759809894354432
2018-01-14,65018170.08088642,0.20423307290880396
2018-01-16,97601465.7665482,0.30658271755583394
2018-01-19,108252976.30784394,0.34004091433779554
2018-01-22,40319457.402810216,0.1266502375127948
2018-01-26,56020081.52734749,0.17596855433947828
2018-01-28,100206339.3672487,0.3147650662646371
2018-01-31,112145967.05383284,0.3522694569416512
2018-02-03,87696112.33284888,0.2754683264941437
2018-02-07,106069918.69128913,0.33318356100393065
2018-02-09,143942410.2845797,0.45214746489707336
2018-02-12,146085547.25780833,0.4588794207359171
2018-02-15,131587020.2208036,0.4133370942487967
2018-02-19,119438604.53798328,0.37517686514992704
2018-02-21,141561455.7025252,0.4446684837115934
2018-02-24,136700345.30753413,0.42939891349017906
2018-02-27,114290510.78814708,0.35900583165508027
2018-03-03,74705187.07627879,0.2346616322765551
2018-03-05,64037820.24327622,0.20115362819955282
2018-03-08,48133645.23138082,0.15119592359608716
2018-03-11,15070056.21908217,0.04733759634733821
2018-03-15,11969102.599298095,0.03759697636482722
2018-03-17,16031073.59823734,0.05035631453364601
2018-03-20,8621869.105524909,0.027082749629037645
2018-03-23,5238419.120133881,0.016454760765463084
2018-03-27,3723209.614303021,0.011695231343280247
2018-03-29,15626254.970139928,0.049084710729906146
2018-04-01,7114971.311421561,0.022349328699682737
2018-04-08,3437432.478282045,0.010797557007259538
2018-04-10,9558655.752642913,0.030025354986322052
2018-04-13,6560762.257453228,0.02060846429231751
2018-04-20,1477077.3908693204,0.004639749997363308
2018-04-22,6992230.745523161,0.021963779815227666
2018-04-25,5797444.086268676,0.018210752767766646
2018-04-28,1216485.5093381095,0.0038211868068890823
2018-05-02,1375075.2530245015,0.004319344024242282
2018-05-04,16189630.663876373,0.050854369103723526
2018-05-07,3641763.865158829,0.011439396465085667
2018-05-10,2578953.5558100976,0.008100929462286122
2018-05-14,2230024.602015597,0.0070048845817296595
2018-05-16,2707301.5574530214,0.008504092251159267
2018-05-19,3002435.574342825,0.00943115813311713
2018-05-22,2351875.980543817,0.00738764037820982
2018-05-26,1510962.9524469709,0.004746190279512659
2018-05-28,2493224.445036885,0.007831639820495673
2018-05-31,2422002.4734716984,0.007607919557478649
2018-06-07,1853611.6302057903,0.005822507750455978
2018-06-09,2234960.569026513,0.007020389289246986
2018-06-12,2305747.35599826,0.007242742563825391
2018-06-15,1530079.5784669162,0.004806238836259869
2018-06-19,1390411.4052393895,0.004367517473134294
2018-06-24,1969900.0164164824,0.00618778924684182
2018-06-27,1157468.8216830983,0.0036358054056948134
2018-07-01,1918334.2358656337,0.006025812405510557
2018-07-06,11784974.427943867,0.03701859862522043
2018-07-09,10546386.446490087,0.0331279842138102
2018-07-13,5683984.677397573,0.017854357567850466
2018-07-15,12219745.34781485,0.03838428764516936
2018-07-18,13205169.674544027,0.04147967218331638
2018-07-21,12551276.601156825,0.03942568340501778
2018-07-25,34921675.15000099,0.10969489018431144
2018-07-27,47653189.31302401,0.14968673026626628
2018-07-30,117643547.0061244,0.36953828572938124
2018-08-02,111859260.14124404,0.3513688620201183
2018-08-06,114556073.07531312,0.35984000773061636
2018-08-08,117765433.37987581,0.3699211514517784
2018-08-11,105491687.23709977,0.33136723817302505
2018-08-18,64737503.494882606,0.2033514516750616
2018-08-20,55547337.7240186,0.17448358606780376
2018-08-23,55881345.94034737,0.175532762387481
2018-08-26,84997474.62737669,0.2669914488679281
2018-08-30,25991963.97270188,0.08164515652279732
2018-09-01,17498036.882745095,0.05496429441168146
2018-09-04,17939826.185490415,0.05635202935970699
2018-09-07,7152329.265459698,0.022466676354058468
2018-09-11,3248020.6414830224,0.010202582380526121
2018-09-13,6439117.394980129,0.020226357197707764
2018-09-16,7531398.283340182,0.023657396275427227
2018-09-19,3060690.7508186195,0.009614147498854352
2018-09-23,2631787.767167245,0.008266890659390862
2018-09-25,5904652.774982736,0.018547513398085164
2018-09-28,3766432.2549786437,0.011831000970654157
2018-10-01,2355287.144858715,0.007398355422471475
2018-10-05,1893648.355970704,0.00594826988005764
2018-10-07,25931790.324482337,0.08145614091271905
2018-10-10,12756238.858938718,0.04006950453509643
2018-10-13,2848139.242563884,0.0089464872489848
2018-10-17,1999275.4488157385,0.0062800624501550065
2018-10-19,51805859.35938406,0.1627309694887691
2018-10-22,14566787.84926707,0.04575674524775677
2018-10-25,4109342.631203834,0.01290814048075816
2018-10-29,2125252.352846452,0.006675777220252691
2018-10-31,13620400.918865787,0.04278398377636918
2018-11-03,3244772.9327992164,0.010192380778057439
2018-11-06,1557226.6284679042,0.004891512313431146
2018-11-10,1884044.204630085,0.005918101615731905
2018-11-12,2390691.3860702207,0.007509566134302258
2018-11-15,3044899.711497588,0.009564545172597772
2018-11-18,2257236.0325453216,0.007090360289034499
2018-11-22,2393623.9453858617,0.007518777799284149
2018-11-24,4288014.404138963,0.013469378749740642
2018-11-27,11140150.98449321,0.034993099089079556
2018-11-30,3210300.099585888,0.010084095776337582
2018-12-04,16850098.91877863,0.052929011639642226
2018-12-09,50167786.83359475,0.1575855065332101
2018-12-12,11935754.109075867,0.037492223114674504
2018-12-16,67372979.65426415,0.21162992819845144
2018-12-18,17078418.540497694,0.05364620220177353
2018-12-21,72373295.8377388,0.22733676735427788
2018-12-24,25260461.460087195,0.07934738336483317
2018-12-28,78875505.44428955,0.24776130786335307
2018-12-30,143875435.51922187,0.45193708582735553
2019-01-02,143384527.2279966,0.4503950598258759
2019-01-05,87280467.33413686,0.27416271522854635
2019-01-09,103052696.49930438,0.3237059556029932
2019-01-11,157792979.15644303,0.49565444515684615
2019-01-14,142307065.20053998,0.4470105692975166
2019-01-17,128389476.0737482,0.4032930670775881
2019-01-21,95483679.17114364,0.2999303915428676
2019-01-23,147408459.92896459,0.46303491326491497
2019-01-26,118642365.46251984,0.3726757434950164
2019-01-29,88321768.64174923,0.2774336188176978
2019-02-02,97348985.2776938,0.30578963362215655
2019-02-04,142854722.98164394,0.4487308550483788
2019-02-07,143627684.5083143,0.45115885798410854
2019-02-10,119271308.25642502,0.37465135922402426
2019-02-14,134358589.17559725,0.42204306126866137
2019-02-16,147031644.4979923,0.4618512722413183
2019-02-19,147306984.87267897,0.4627161629441504
2019-02-22,138054438.64206693,0.43365234975842404
2019-02-26,120585265.3914771,0.37877872089889586
2019-02-28,128820652.17526552,0.40464746416486647
2019-03-03,125760562.92524709,0.3950352060817958
2019-03-10,47112842.76591658,0.14798941033840424
2019-03-12,28568441.28343857,0.08973830768034204
2019-03-15,20784551.00175452,0.06528779131798372
2019-03-18,13039772.884797335,0.04096013288257637
2019-03-22,6383245.592411865,0.020050854412666675
2019-03-24,21244665.75147206,0.06673308959550481
2019-03-27,14338298.10791668,0.045039020311080244
2019-03-30,6666217.9696492525,0.020939718526799756
2019-04-03,2542854.378817509,0.007987535839587988
2019-04-05,21381460.792330723,0.067162785963743
2019-04-08,8715937.405718338,0.02737823407573787
2019-04-11,2115762.949239244,0.006645969397972228
2019-04-15,2247400.7277764115,0.007059465932680726
2019-04-17,14560492.472399665,0.04573697040387621
2019-04-20,10962105.083799893,0.034433826790702435
2019-04-23,3262449.30694239,0.010247905259977722
2019-04-27,2324323.596817196,0.007301093679226292
2019-04-29,11560354.889910767,0.03631303065197872
2019-05-02,6297958.88972518,0.01978295444952881
2019-05-05,1006618.4737981459,0.003161958940013325
2019-05-09,1833954.6704232309,0.005760761913939163
2019-05-11,5466455.066656645,0.017171060255806676
2019-05-14,2899918.5964631326,0.00910913496033872
2019-05-21,1082101.4413335763,0.003399063712307868
2019-05-23,1566746.0904307344,0.004921414554092313
2019-06-02,1238247.6388051056,0.0038895453375668077
2019-06-04,2654287.49550156,0.008337566112908144
2019-06-07,1887863.683765037,0.00593009924592777
2019-06-14,1941788.3377630797,0.006099485707863921
2019-06-16,3455529.892663573,0.010854404047805978
2019-06-19,2051045.2237417183,0.006442680072333183
2019-06-26,1605173.852313771,0.005042122655913952
2019-06-28,2925276.5923589375,0.009188788715868383
2019-07-01,3409412.2049945295,0.01070954058800113
2019-07-08,2496190.971802416,0.007840958182984756
2019-07-10,23219968.46852109,0.07293784963913803
2019-07-13,41998759.85850726,0.13192521065405108
2019-07-20,49943804.537494205,0.15688194024469607
2019-07-22,59318553.24608328,0.18632961208967527
2019-07-25,118247000.47753751,0.3714338351838008
2019-07-26,117864177.09874175,0.3702313221795818
2019-07-28,129315624.760783,0.4062022568023721
2019-08-01,123960288.01436326,0.38938023799098337
