Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,48219272.28223568,0.4011346558004162
2017-02-02,54615435.46594122,0.4543441422920704
2017-02-24,60948277.03273863,0.5070268581834863
2017-02-26,65105464.42076194,0.5416103733023346
2017-03-08,62307704.95572962,0.5183358976227929
2017-03-10,64178985.61980841,0.5339030244076522
2017-03-20,50087573.25937045,0.4166769946604457
2017-03-22,48431748.29208953,0.40290223724751256
2017-04-01,42822411.04869873,0.3562383317612206
2017-04-03,49765946.82198944,0.41400139413499615
2017-04-15,69058442.49860616,0.5744950773966103
2017-04-25,61023692.72466115,0.5076542390249934
2017-04-27,66964904.91545118,0.557079002079076
2017-05-07,53939556.77047515,0.44872152803356985
2017-05-09,47525503.4681225,0.3953632141904008
2017-05-19,44866835.77989644,0.3732458387608851
2017-05-21,45129422.30726051,0.37543028807516515
2017-05-31,43056604.02357549,0.35818657597814285
2017-06-02,45981896.00872002,0.3825219908037409
2017-06-12,44876720.43091247,0.37332806887128195
2017-06-24,53124093.99182673,0.44193771804331217
2017-07-06,61513952.07048977,0.511732691573817
2017-07-18,68470938.18795227,0.5696076469506259
2017-07-30,61959617.50489218,0.5154401687332558
2017-08-01,61959800.03981395,0.5154416872357042
2017-08-11,63619516.0680776,0.5292488142663053
2017-08-13,91622053.85981216,0.7622010722945506
2017-08-23,85176386.54169555,0.7085797624182246
2017-08-25,78908615.51112393,0.6564383663335221
2017-09-04,68729235.28822172,0.5717564126517002
2017-09-06,68986445.49584636,0.5738961365260042
2017-09-16,70878336.95848925,0.5896347239156482
2017-09-18,67571599.56087357,0.5621260763348426
2017-09-28,59033038.11837473,0.4910940440548922
2017-09-30,63368030.41965557,0.527156712825453
2017-10-10,60875067.37799215,0.5064178292979795
2017-10-12,58865488.35284303,0.4897002026644082
2017-10-22,58220239.86489202,0.4843324001682407
2017-10-24,56824075.49782478,0.4727177513708417
2017-11-03,51732430.35828605,0.43036051071088305
2017-11-05,54873015.12917222,0.4564869396562981
2017-11-15,52092436.813001096,0.43335539343024027
2017-11-17,57164699.83733621,0.4755513948648249
2017-11-27,52142080.21326874,0.4337683753633264
2017-11-29,54529961.5382253,0.4536330872936965
2017-12-09,50312635.33568939,0.41854927921068735
2017-12-11,54378153.57882229,0.4523702015083935
2017-12-21,51453768.50715479,0.428042331268357
2017-12-23,54717374.11888391,0.45519216683755875
2018-01-02,49561072.300679296,0.4122970492393081
2018-01-04,54390599.06417871,0.45247373512158234
2018-01-14,51410083.30822424,0.427678915430515
2018-01-16,51803997.12318683,0.4309558724458588
2018-01-26,55274413.70602395,0.4598261621775702
2018-01-28,59246087.23204255,0.49286639313514186
2018-02-07,59438839.61538864,0.4944698943347385
2018-02-09,62935077.12486509,0.5235549875678236
2018-02-19,64088474.7379512,0.5331500671413651
2018-02-21,63911737.80882359,0.5316797980170643
2018-03-03,60680058.4813659,0.5047955562332114
2018-03-05,60386035.36319485,0.5023495868785814
2018-03-15,64768102.2433101,0.5388038676350544
2018-03-17,62567444.07956646,0.5204966594739536
2018-03-27,62694181.88495715,0.5215509874124743
2018-03-29,69392644.51280856,0.577275293762179
2018-04-08,63210269.82900539,0.525844307282314
2018-04-10,57285536.03997129,0.4765566275499749
2018-04-20,60435067.99663647,0.5027574878610656
2018-04-22,61964231.21738839,0.5154785500668292
2018-05-02,49763366.69715896,0.4139799301552053
2018-05-04,46767797.91238625,0.3890598847764002
2018-05-14,44135207.1898496,0.3671594428293085
2018-05-16,42045956.85842285,0.34977903302817337
2018-05-26,36396124.361719534,0.3027782487643671
2018-05-28,40133871.75357677,0.33387245534479126
2018-06-07,37563708.25513402,0.31249134357138836
2018-06-09,37991202.83942861,0.316047657982851
2018-06-19,42821671.344582304,0.35623217818523134
2018-07-01,43888780.9296504,0.3651094302848097
2018-07-13,60958280.48057458,0.5071100765610056
2018-07-15,59929704.25023111,0.49855338226441165
2018-07-25,51955208.09821823,0.4322137919363779
2018-07-27,53797522.55625339,0.44753994973640593
2018-08-06,67465788.59536603,0.5612458381392028
2018-08-08,74251350.2790372,0.6176947188784234
2018-08-18,62282784.89579283,0.5181285884040481
2018-08-20,58932528.12466761,0.49025790448202144
2018-08-30,55204420.50025823,0.4592438908330576
2018-09-01,61113181.84606777,0.5083986962972478
2018-09-11,57807062.79070493,0.4808951926867889
2018-09-13,73540976.77492484,0.6117851433586198
2018-09-23,64298487.33979476,0.5348971555723389
2018-09-25,57876655.13760892,0.48147412929865396
2018-10-05,53235399.44981333,0.44286366475434563
2018-10-07,55408535.15040291,0.4609419143836903
2018-10-17,50884490.54887114,0.4233065252919776
2018-10-19,58285462.19346702,0.4848749827308787
2018-10-29,54369568.04188944,0.45229877868844165
