Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-08,0.0,0.0
2017-01-09,33730935.388944395,0.1670727499505124
2017-02-02,73058621.17863789,0.3618667732501849
2017-02-24,80388719.66651832,0.39817349577824346
2017-02-26,81092984.28555958,0.40166178998767826
2017-03-08,67732457.02927886,0.3354857410949692
2017-03-10,60455979.66463262,0.2994446094380463
2017-03-20,49842582.14576381,0.24687537323546704
2017-03-22,47513208.32366485,0.23533774803671956
2017-04-01,38780613.06216651,0.1920843164991662
2017-04-03,56599007.31357013,0.28034063352558736
2017-04-15,65316653.48882422,0.3235200207201874
2017-04-25,47738230.06034193,0.23645230356006272
2017-04-27,65042632.09920002,0.3221627649375689
2017-05-07,35124105.032514885,0.17397326073727187
2017-05-09,39812622.4522514,0.1971959638575358
2017-05-19,28809673.08060277,0.14269723775075505
2017-05-21,33407897.747515626,0.16547271169279124
2017-05-31,23379049.60036705,0.11579880791693009
2017-06-02,28444714.314304136,0.14088955990248392
2017-06-12,27751904.979440995,0.13745800487940832
2017-06-24,40121507.29479334,0.19872590186448558
2017-07-06,61230979.05477311,0.30328326015519125
2017-07-18,77095343.42213091,0.38186106864194064
2017-07-30,62839492.14046448,0.31125038888906925
2017-08-01,56226227.37813431,0.27849421663197077
2017-08-11,61018547.87552581,0.30223106694196333
2017-08-13,110340569.1845278,0.5465280494654182
2017-08-23,102246606.00650376,0.5064378275205538
2017-08-25,84656272.52550648,0.41931111866029414
2017-09-04,60343461.43646482,0.29888729522239266
2017-09-06,60082620.67131722,0.2975953244119215
2017-09-16,58535765.92000886,0.28993359567255755
2017-09-18,57806089.44545607,0.28631943396100046
2017-09-28,39429050.030152656,0.19529609068099116
2017-09-30,54088471.44547442,0.26790569430745875
2017-10-10,46207176.54351591,0.22886883994045124
2017-10-12,43550552.61829434,0.21571031173323857
2017-10-22,45035520.006324,0.2230655060746994
2017-10-24,46867636.17202812,0.23214016358133058
2017-11-03,31991594.052381083,0.15845761559827984
2017-11-05,39625538.51605567,0.1962693181143516
2017-11-15,35190640.97768533,0.17430282003356778
2017-11-17,46589291.52587038,0.23076149426987067
2017-11-27,40685833.15862536,0.20152106520198126
2017-11-29,48606413.40349753,0.24075250386372157
2017-12-09,35082203.91014271,0.17376572022112519
2017-12-11,52400230.10406837,0.25954366342285723
2017-12-21,37171357.40298069,0.1841135097233268
2017-12-23,46876807.44686397,0.23218558983736853
2018-01-02,31965666.23678021,0.15832919249341487
2018-01-04,42809932.5785948,0.21204194543167385
2018-01-14,37046023.31265084,0.1834927172403286
2018-01-16,37314530.547711655,0.18482266085517193
2018-01-26,48572770.36934054,0.24058586649750344
