Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,37991229.12427629,0.12999234431885864
2017-01-09,45579225.58997074,0.15595574355588257
2017-01-27,50010387.06455468,0.17111758699749166
2017-02-02,61980806.49915667,0.21207606401053516
2017-02-05,64453952.32096315,0.22053828096506858
2017-02-08,58051433.49253607,0.19863116052602375
2017-02-12,60904443.98615313,0.20839313798714784
2017-02-17,61247059.046046704,0.20956544369720584
2017-02-20,44879002.18386714,0.1535598304937232
2017-02-24,51270338.25417506,0.17542868754994603
2017-02-26,45492715.5849377,0.15565973738233932
2017-03-04,37780534.91967703,0.1292714244059845
2017-03-08,51274384.36966309,0.1754425319042825
2017-03-10,44285381.80235167,0.15152867470310039
2017-03-13,45090297.919884,0.1542828086311128
2017-03-20,35505537.68487942,0.12148720076576304
2017-03-22,32411703.11139748,0.11090120977752556
2017-03-25,35660816.25935002,0.1220185082907682
2017-03-28,30664070.05685697,0.10492143699824262
2017-04-01,33014350.08318375,0.11296325131882173
2017-04-03,35248953.354613364,0.12060926132090691
2017-04-06,39466413.42390391,0.1350398952886806
2017-04-09,28324775.679223035,0.09691721162280596
2017-04-15,34555028.1562521,0.1182348984641056
2017-04-18,39901600.884417795,0.1365289505131198
2017-04-21,29352574.97418988,0.10043397175196526
2017-04-25,28448215.165945563,0.09733957722219438
2017-04-27,26649280.03145445,0.09118426714667402
2017-04-30,32478575.77218279,0.11113002401035509
2017-05-03,26456222.96324368,0.09052369518144618
2017-05-07,66390831.66765711,0.22716558660227
2017-05-09,16264299.834172448,0.055650593910316806
2017-05-12,26234461.73643118,0.0897649078924621
2017-05-15,18614902.44580892,0.06369351200199298
2017-05-19,27559835.08083137,0.09429985956703729
2017-05-21,25834455.409858003,0.08839622987566174
2017-05-24,27621375.61718917,0.09451042918471461
2017-05-27,21858182.605782725,0.07479085212485928
2017-05-31,26205274.30617308,0.08966503898662906
2017-06-02,24332749.73034609,0.08325793226707083
2017-06-05,32323296.98363101,0.110598715752841
2017-06-08,24867747.459131245,0.08508850239004713
2017-06-12,28334881.09875508,0.09695178873982944
2017-06-20,32083629.293538265,0.10977865897629586
2017-06-24,53386315.15932738,0.1826688007225296
2017-06-29,56383426.470708705,0.19292383943887564
2017-07-02,58892326.71215706,0.2015083951788641
2017-07-06,63513638.58569082,0.21732086500720565
2017-07-11,93621401.40922946,0.32033881840969436
2017-07-18,65644624.68373933,0.22461233424843674
2017-07-23,74955182.42086823,0.2564697196256341
2017-07-26,76229383.13060729,0.2608295769192717
2017-07-30,86091834.94179864,0.2945753456459096
2017-08-01,71496039.2027425,0.24463377362904848
2017-08-04,87518223.58243619,0.29945593539202503
2017-08-07,47085364.71715643,0.1611092108304678
2017-08-11,111317985.71788122,0.3808901754924798
2017-08-13,107140291.75049356,0.3665956068463589
2017-08-16,96481024.48217116,0.33012342174284787
2017-08-19,47834396.9966117,0.1636721303311341
2017-08-23,46407459.56274928,0.1587896628116617
2017-08-25,44489389.6743067,0.1522267163865686
2017-08-28,48600965.91009242,0.16629505389644839
2017-09-04,55910430.75493453,0.19130541794097858
2017-09-06,53314800.92033745,0.18242410467576392
2017-09-09,50463419.89231071,0.17266770266078765
2017-09-12,48282124.28549135,0.1652040923454876
2017-09-16,47483529.34863313,0.16247158722795682
2017-09-18,46658413.99883302,0.15964833878018672
2017-09-21,48796712.72589269,0.1669648292121033
2017-09-24,46905197.09639822,0.16049274192612942
2017-09-28,48754050.54049292,0.1668188545326387
2017-09-30,47950491.6525301,0.16406936455686438
2017-10-03,50355899.8706957,0.1722998077546969
2017-10-06,42745331.53417547,0.1462591756807277
2017-10-10,42082622.07552321,0.14399162187638287
2017-10-12,45096639.2642576,0.1543045064345337
2017-10-15,50155975.70600976,0.1716157390511416
2017-10-18,42506858.82677468,0.14544320770586464
2017-10-22,43979504.65827919,0.15048207294927265
2017-10-24,43175821.45277059,0.14773215760349617
2017-10-27,46095849.8587341,0.15772344629613563
2017-10-30,40271634.53771146,0.13779507280442987
2017-11-03,45328393.75418733,0.15509748708156246
2017-11-05,44995956.2044816,0.15396000515686603
2017-11-08,48631426.09167592,0.1663992777003023
2017-11-11,41714592.79846788,0.14273235784083665
2017-11-15,46037564.49716921,0.15752401471774402
2017-11-17,46649638.50586718,0.15961831219432787
2017-11-20,51672039.55887145,0.17680316517325778
2017-11-27,44909446.12323256,0.15366399872253902
2017-11-29,44074982.21180788,0.15080876285373518
2017-12-02,52010054.09259789,0.17795972953471112
2017-12-05,41506040.39967501,0.1420187664183606
2017-12-09,48425096.84258687,0.16569329309783265
2017-12-11,50589196.61029432,0.1730980654263075
2017-12-14,55297295.01206897,0.1892074875913167
2017-12-21,54751788.81336248,0.18734096125761052
2017-12-23,50363692.84237155,0.17232647250550134
2017-12-26,53637994.4516844,0.18352995688894314
2017-12-29,37301816.77748945,0.12763342281968765
2018-01-02,49383827.08335359,0.1689737237245694
2018-01-04,52670069.61090352,0.18021806564251952
2018-01-07,58543005.62566957,0.2003131438537759
2018-01-10,41243266.12915328,0.14111964722060946
2018-01-14,49298631.37510434,0.16868221460268767
2018-01-16,47648434.59130646,0.16303583375484473
2018-01-19,49953842.22934556,0.17092411087530798
2018-01-22,41544799.51570328,0.14215138619593504
