Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02,0.0,0.0
2017-01-03,9145465.578166498,0.02960228108181358
2017-01-27,20540842.74741055,0.06648713457714236
2017-02-05,73653046.24173391,0.2384020976017638
2017-02-08,57605797.49493024,0.18645994507464236
2017-02-12,50064346.71439413,0.162049580849659
2017-02-17,114663284.11303563,0.37114510322813177
2017-02-20,75489268.33258013,0.24434562907069562
2017-02-24,49101493.96422163,0.15893299400042854
2017-03-04,59424583.64675842,0.19234703944222317
2017-03-08,33979785.07863455,0.1099866529921395
2017-03-13,20205612.931603767,0.06540205398176972
2017-03-20,9611147.522310115,0.03110961252245397
2017-03-25,8270415.994171712,0.02676989780678617
2017-03-28,4683487.83013563,0.015159635341246711
2017-04-01,2847783.2610707,0.009217779000290041
2017-04-06,8408780.625530317,0.027217760047833512
2017-04-09,3681030.8909016927,0.011914856621783545
2017-04-18,12462938.675867835,0.04034036437348982
2017-04-21,7177367.279143118,0.023231889268911544
2017-04-25,3331365.354853402,0.010783050111305191
2017-04-30,9011027.982231677,0.029167129971264687
2017-05-03,4065392.682009708,0.01315896887394183
2017-05-07,2092723.9241220208,0.006773783280797797
2017-05-12,4114234.377232989,0.013317060944613828
2017-05-15,2217588.1527986717,0.007177947066966801
2017-05-19,1574898.328148816,0.005097671910377047
2017-05-24,3984859.1594582964,0.012898295871490552
2017-05-27,2088732.6294152946,0.006760864154179363
2017-05-31,1131223.3983364927,0.0036615733466676863
2017-06-05,4014211.257702727,0.012993303507257832
2017-06-08,2233111.9003559486,0.007228194737214525
2017-06-12,1906176.1049357997,0.006169960442960714
2017-06-20,2800519.590684569,0.009064794721494152
2017-06-24,4916269.519819912,0.01591310917479156
2017-06-29,12618452.71264472,0.0408437362564727
2017-07-02,9692399.28615651,0.03137261034702796
2017-07-06,9513638.05298399,0.030793991333520565
2017-07-11,71457965.10506998,0.23129700183058277
2017-07-18,26572995.08587311,0.08601216231086295
2017-07-23,30431014.97350797,0.09849990152510756
2017-07-26,34282915.82616215,0.11096783448762015
2017-07-30,24817105.59112528,0.08032865348040824
2017-08-04,67094624.67957259,0.21717362794357406
2017-08-07,25823395.67517233,0.08358583942279682
2017-08-11,52733976.95772038,0.17069070952397386
2017-08-16,25579618.99117887,0.0827967767054219
2017-08-19,12448824.078599488,0.040294677877583944
2017-08-23,10398249.465556243,0.03365732458422577
2017-08-28,23398572.379996385,0.07573710825170225
2017-09-04,15971616.046660716,0.05169734263423273
2017-09-09,7364253.831089037,0.023836808525763982
2017-09-12,8785940.345186602,0.02843856044761389
2017-09-16,6162109.173165178,0.019945675399658323
2017-09-21,8090320.437797218,0.026186959821200072
2017-09-24,6246733.77382962,0.02021959051025538
2017-09-28,5597002.834618421,0.01811652449074097
2017-10-03,7502608.105911164,0.024284637244504418
2017-10-06,6061340.262306394,0.019619503965513797
2017-10-10,5240240.879201821,0.01696174810529894
2017-10-15,7608654.376916862,0.024627890575366358
2017-10-18,7170066.4899536725,0.023208257884390127
2017-10-22,5225018.2677352615,0.0169124751601896
2017-10-27,9765880.534575667,0.03161045636496492
2017-10-30,7025740.753416115,0.022741100582904652
2017-11-03,5877230.461787535,0.019023572569972037
2017-11-08,11353658.028916305,0.03674981589577541
2017-11-11,8011040.467736246,0.02593034435008557
2017-11-15,5575115.513175487,0.01804567903886714
2017-11-20,9201427.773764007,0.02978342097347616
2017-11-27,6613430.271962724,0.02140652328220389
2017-12-02,10361951.15963069,0.03353983328259459
2017-12-05,7654317.7273587985,0.024775694896903212
2017-12-09,6251334.372199412,0.020234481846833394
2017-12-14,12706024.179351386,0.04112718985979567
2017-12-21,8424621.224116188,0.02726903330973967
2017-12-26,15305218.079661235,0.049540328345254056
2017-12-29,6785056.439682815,0.021962047330096397
2018-01-02,5817395.128976323,0.018829896006940627
2018-01-07,20740779.976045284,0.06713429660407012
2018-01-10,10362475.17490546,0.03354152942887849
2018-01-14,7127599.85671641,0.023070800780326566
2018-01-19,19101171.48349747,0.061827169148864096
2018-01-22,8762253.85809856,0.02836189140953944
2018-01-26,8044339.851832583,0.02603812866346425
2018-01-31,33266122.09588671,0.10767665006966144
2018-02-03,21516440.940967068,0.06964497620934056
