Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,62689301.43578841,0.2362856726933079
2017-01-28,58693635.53383884,0.22122538993570037
2017-02-19,37648039.359705396,0.14190128302520374
2017-02-21,82252297.30456741,0.3100216297526724
2017-02-24,75108583.11018804,0.2830958661010131
2017-03-03,41573240.44775869,0.15669597300108692
2017-03-05,96858013.11679344,0.36507283158164855
2017-03-08,83140179.85134634,0.31336819639216823
2017-03-15,7372692.096535237,0.027788816778805986
2017-03-17,51930069.27738611,0.19573246265609695
2017-03-20,47738918.94237524,0.1799353688364891
2017-03-27,3752084.6519801416,0.014142187353985054
2017-04-01,8805678.27770218,0.03318996332251189
2017-04-08,27260222.92056525,0.10274799627736965
2017-04-10,27083823.81063323,0.10208312074999629
2017-04-13,24176870.708414946,0.09112636491584336
2017-04-20,13346190.685292196,0.05030385682631218
2017-04-22,58377695.45083422,0.22003456289928824
2017-04-25,57369318.25691435,0.2162338332989114
2017-05-02,33167020.22090255,0.12501162885274295
2017-05-07,34282157.90700731,0.12921475525983508
2017-05-14,26221254.80632967,0.0988319647671046
2017-05-19,27756516.6590861,0.1046186041350755
2017-05-26,30828982.076277755,0.11619920148264147
2017-05-28,41595082.25313176,0.15677829814361063
2017-05-31,38570325.217872426,0.14537752106616736
2017-06-03,43559894.75146367,0.1641839803294315
2017-06-06,74979910.38903865,0.2826108787143663
2017-06-09,74731684.7624985,0.28167527793714536
2017-06-12,70150355.05801804,0.26440753772852643
2017-06-19,83226411.96765752,0.3136932185752791
2017-06-24,81962375.15471116,0.3089288683302526
2017-07-01,55525376.74218237,0.20928373254428997
2017-07-03,58572978.12251892,0.22077061349145552
2017-07-06,42659643.04709153,0.16079079242194222
2017-07-13,43649632.54654668,0.16452221595802474
2017-07-15,51484888.91163969,0.19405450900561658
2017-07-18,46683673.25401019,0.17595798463182635
2017-07-25,31204674.10061301,0.1176152428272159
2017-07-27,38341217.29207162,0.14451397785979328
2017-07-30,35603272.96027092,0.13419424222038748
2017-08-06,46901811.30982322,0.17678018070160686
2017-08-08,44284722.96245467,0.1669159699592174
2017-08-11,39584552.629500665,0.14920030104188678
2017-08-18,61303054.84187272,0.23106069488273717
2017-08-23,58882868.62884651,0.22193863873773914
2017-08-30,56205986.34775728,0.2118490554113747
2017-09-01,71929002.40503305,0.2711115346665699
2017-09-04,69058536.79872863,0.26029230584770413
2017-09-11,51904036.42747304,0.19563434081851142
2017-09-16,44486377.61316264,0.1676760375258192
