Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,45365998.38908344,0.1871547803752933
2017-01-28,42292613.625579976,0.1744757107891013
2017-02-19,28252981.70492089,0.11655602816412479
2017-02-21,56107850.96951773,0.23146966667566232
2017-03-03,34124908.44380543,0.14078031944435798
2017-03-05,68657169.77114953,0.2832411494508349
2017-03-15,18596111.471932624,0.07671717325638115
2017-03-17,48631764.57982468,0.20062750831887827
2017-03-27,13909271.56518776,0.057381888581767446
2017-04-08,59501027.03703728,0.24546801663469547
2017-04-10,74651886.74641797,0.30797200468951036
2017-04-20,44461483.61804553,0.1834232574433403
2017-04-22,75474457.90161566,0.31136547401368864
2017-05-02,56066145.22414978,0.2312976120556409
2017-05-14,41782397.19056777,0.1723708426449109
2017-05-26,48061205.03482189,0.19827369819394294
2017-05-28,54235715.49682253,0.2237462809756492
2017-06-07,81406504.14193691,0.33583778479061976
2017-06-09,77621981.17202435,0.3202249560111329
2017-06-19,80198163.09374192,0.3308528442729698
2017-07-01,74598607.1834924,0.3077522029601997
2017-07-03,77624134.43654439,0.3202338391783208
2017-07-13,68306104.80018312,0.28179285138903165
2017-07-15,77486326.43669681,0.3196653203126225
2017-07-25,76140482.34142525,0.3141131189941447
2017-07-27,79783395.710678,0.32914174562551135
2017-08-06,72979354.59413354,0.30107207084595733
2017-08-08,80272182.34977372,0.3311582063965444
2017-08-18,66462605.22431322,0.2741876014111782
2017-08-30,76581216.52770466,0.3159313421737508
2017-09-01,73517770.30517195,0.3032932734586667
2017-09-11,64362708.37080191,0.26552459941882595
2017-09-23,59675935.23548131,0.24618959020582856
2017-09-25,63344789.95543868,0.2613252363664939
2017-10-05,54107070.48474009,0.2232155634815433
2017-10-17,51644655.50501565,0.21305701410342456
2017-10-29,54407234.51557455,0.22445387268363737
2017-10-31,60465278.37076575,0.24944597927188414
2017-11-10,49947171.84196633,0.2060541442575117
2017-11-12,52652716.7858448,0.21721571212215515
2017-11-22,45698354.67951278,0.1885258968667275
2017-11-24,48877535.97490482,0.20164142387462677
2017-12-04,41871127.27023525,0.17273689341338347
2017-12-06,49128476.21332926,0.2026766631921186
2017-12-16,45428311.61780349,0.18741184996594917
2017-12-28,41525871.58166828,0.17131256120729185
2017-12-30,47843610.0958904,0.19737602296463955
2018-01-09,39110659.79558873,0.16134874585142153
2018-01-11,47585127.57143693,0.19630966838603994
2018-01-21,31281379.37641405,0.12904950612610738
2018-01-23,37139245.22233943,0.15321579001254135
2018-02-02,20840425.198409487,0.08597595863501634
2018-02-04,32889396.148414724,0.1356832855311693
