Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,18074579.68373607,0.1591941878648394
2017-01-28,7778148.735897738,0.0685070465133616
2017-02-19,10662548.872337254,0.09391177211319957
2017-02-21,3943400.257334689,0.03473200552250039
2017-03-03,9791625.610868143,0.08624100334689021
2017-03-05,3302340.65724577,0.029085790551264083
2017-03-15,6355129.809696271,0.0559736240915511
2017-03-17,3235756.5096631525,0.02849934209799104
2017-03-27,4389217.041963434,0.038658594256917755
2017-04-08,50805385.36793454,0.4474749733785642
2017-04-10,45444404.63690556,0.4002574453049706
2017-04-20,41340794.11924624,0.3641143672858332
2017-04-22,39874711.46697024,0.3512016555516943
2017-05-02,47133077.61690858,0.4151306500115108
2017-05-14,39612748.800884105,0.3488943856395748
2017-05-26,44833439.15785158,0.39487628817969755
2017-05-28,39308265.80331512,0.34621261243296114
2017-06-07,55099361.64527721,0.4852947223377917
2017-06-09,46801285.47435261,0.4122083479940724
2017-06-19,58834053.18939649,0.518188498995112
2017-07-01,61621800.6245646,0.5427419434834069
2017-07-03,54286118.49451316,0.47813197857346396
2017-07-13,59649347.88444394,0.5253693119998746
2017-07-15,51151869.44494756,0.45052667650048067
2017-07-25,58495448.63897581,0.5152061958182329
2017-07-27,48483386.37758354,0.4270236682882155
2017-08-06,56047173.34855297,0.49364269595554316
2017-08-08,48323744.55596851,0.42561760238870594
2017-08-18,57720286.49169316,0.5083788553954144
2017-08-30,60150054.77062571,0.5297793523714227
2017-09-01,50969377.89387251,0.4489193586665988
2017-09-11,55118591.06509686,0.485464087928852
2017-09-23,52967285.06537755,0.46651618333208617
2017-09-25,46124350.92502344,0.40624615978810946
2017-10-05,49671545.20861819,0.43748853018103157
2017-10-17,46953626.03139109,0.41355010706570605
2017-10-29,48343031.11562315,0.42578747124622024
2017-10-31,43161773.93385837,0.38015288147414894
2017-11-10,45081248.17782718,0.39705889803126143
2017-11-12,38265238.36232045,0.3370260139451801
2017-11-22,40234309.01611469,0.3543688572679117
2017-11-24,31851440.96080936,0.2805356674846242
2017-12-04,38352184.092777744,0.33779179966139894
2017-12-06,27933299.650044605,0.24602613338640486
2017-12-16,40642765.68597053,0.35796639198094227
2017-12-18,41051232.68016306,0.3615640176268976
2017-12-28,36329648.57833084,0.3199780576942819
2017-12-30,27023319.53069369,0.23801136631530279
2018-01-09,33598623.99864271,0.2959242070593166
2018-01-11,19820133.64063591,0.17456837909944786
2018-01-21,28988954.403155994,0.2553239485515588
2018-01-23,13410613.164968327,0.11811570221395974
2018-02-02,19165565.17383758,0.16880318304525369
2018-02-04,9193673.377666906,0.08097446206006334
2018-02-14,11688433.505555125,0.10294738311416199
2018-02-26,8416287.721887806,0.0741275377998612
2018-03-12,3806499.991233259,0.033526238801401584
2018-03-22,8528509.52688482,0.07511594579716037
2018-03-24,3729756.206811943,0.03285030803850705
2018-04-03,5695838.026029311,0.05016682681585763
2018-04-15,6439581.177493345,0.05671744038746349
2018-04-17,4561131.985310002,0.04017275725637678
2018-04-27,18810975.300487585,0.1656800870783891
2018-04-29,13353385.557211095,0.11761166268995589
2018-05-09,39494145.13248858,0.34784976855865835
2018-05-11,43130563.70050259,0.3798779933252081
2018-05-23,41797158.85677369,0.3681338584735705
2018-06-02,44418858.92983417,0.3912248194396838
2018-06-04,39514247.42865168,0.34802682212050595
2018-06-14,47626425.10462146,0.4194758715334409
2018-06-16,47403721.36135741,0.41751437963909377
2018-06-26,61491428.0660283,0.5415936703872019
2018-06-28,50712557.58334752,0.4466573807132188
2018-07-10,46719345.14561579,0.411486647998007
2018-07-20,51285954.22196498,0.4517076454389469
